cluster_id,population,households,median_household_income
Cluster 1,18461,11301,150080.0
Cluster 10,11479,4875,211193.0
Cluster 11,12147,5211,209617.0
Cluster 12,9489,5544,118563.0
Cluster 13,13725,4470,229819.0
Cluster 14,17147,9904,131517.0
Cluster 15,13066,7137,154827.0
Cluster 16,4160,1468,219255.0
Cluster 17,21428,8591,102849.0
Cluster 18,37091,15183,140507.0
Cluster 19,15879,6575,87964.0
Cluster 2,47087,22486,120295.0
Cluster 20,12716,4665,101276.0
Cluster 21,28071,13818,129882.0
Cluster 22,11393,4877,122737.0
Cluster 23,19374,9236,77492.0
Cluster 24,7272,3653,96737.0
Cluster 25,35973,17483,151697.0
Cluster 26,25269,11831,161453.0
Cluster 27,11785,7540,154041.0
Cluster 28,5135,2236,47485.0
Cluster 29,1687,641,56696.0
Cluster 3,14166,6669,151443.0
Cluster 30,10491,4665,38294.0
Cluster 31,14233,5676,53151.0
Cluster 32,16010,6598,65751.0
Cluster 33,20530,8132,70285.0
Cluster 34,14738,7031,64656.0
Cluster 35,6340,3274,82225.0
Cluster 36,9274,3435,35886.0
Cluster 37,7521,3407,44920.0
Cluster 38,12996,5469,40239.0
Cluster 39,23268,11117,46181.0
Cluster 4,11411,4343,119317.0
Cluster 5,13529,7085,88531.0
Cluster 6,19193,12703,124842.0
Cluster 7,20260,12438,136688.0
Cluster 8,20436,12663,117009.0
Cluster 9,15016,9302,109571.0
