neighborhood_name,osm_id,area_km2,centroid_lat,centroid_lng
16th Street Heights,4626859,1.1055,38.952913,-77.03342
"9th St NW-13th St NW, Washington DC",654168576,0.1973,38.919384,-77.025588
Adams Morgan,4637409,0.7648,38.920458,-77.042454
American University Park,4631298,1.7527,38.947663,-77.090308
Anacostia,4647091,0.9208,38.863213,-76.984557
Arlingwood,15923520,0.4649,38.929505,-77.120752
Armesleigh Park,795633536,0.0729,38.946341,-77.075821
Barnaby Woods,4629468,0.7331,38.975442,-77.060064
Barney Circle,19675617,0.1699,38.879023,-76.981621
Barry Farm,4647938,0.33,38.85917,-76.997379
Bellevue,4648229,0.8996,38.826821,-77.009217
Benning,4645188,0.6836,38.891861,-76.948852
Benning Ridge,4645304,1.3199,38.881158,-76.938269
Blagden Alley-Naylor Court Historic District,953134948,0.0567,38.907118,-77.024976
Bloomingdale,4636553,0.6585,38.918069,-77.011174
Brentwood,4636713,1.0097,38.918974,-76.987065
Brightwood Park,4618038,1.4822,38.954511,-77.02192
Burrville,4645035,0.2363,38.900258,-76.921921
Buzzard Point,4642599,0.4018,38.868304,-77.011574
Capitol Hill,4642488,2.5106,38.884761,-76.993669
Capitol View,4645199,0.825,38.889976,-76.9271
Cardozo/Shaw,4637277,0.7956,38.917135,-77.027572
Cathedral Heights,4631574,1.3761,38.934146,-77.08002
Central Northeast,4645157,0.9094,38.896999,-76.942263
Chinatown,4638963,0.0513,38.900348,-77.021451
Civic Betterment,615274829,0.1678,38.879299,-76.929594
Cleveland Park,4631753,1.7705,38.936053,-77.064344
Colonial Village,4600707,0.5476,38.986862,-77.041182
Columbia Heights,4637142,1.7918,38.92798,-77.030693
Congress Heights,4648208,2.0466,38.841037,-76.998142
Crestwood,4628932,0.9665,38.943304,-77.041131
Deanwood,4645026,1.4594,38.903961,-76.93269
Douglass,4648131,0.6546,38.847548,-76.979632
Downtown East,4641379,0.4972,38.89546,-77.0143
Dupont Circle,4638652,1.2832,38.912126,-77.041083
Dupont Park,4646931,0.4805,38.872654,-76.962867
Eckington,4636685,1.2685,38.915176,-77.000475
Edgewood,4634158,1.5186,38.925177,-77.000737
Fairfax Village,4646938,0.1992,38.863505,-76.95146
Fairlawn,4647007,1.1794,38.869103,-76.977414
Foggy Bottom,4639510,0.4164,38.899078,-77.05277
Forest Hills,4630996,1.7284,38.94686,-77.058355
Fort Davis Park,4646842,0.6527,38.868818,-76.944792
Fort Dupont,4646766,0.5774,38.885944,-76.950739
Fort Lincoln,4636912,1.2118,38.923635,-76.954797
Fort Stanton,4647962,0.1265,38.855654,-76.980275
Fort Totten,4626780,1.1982,38.9494,-77.008163
Foxhall Crescent,4633701,1.0166,38.920466,-77.092792
Foxhall Village,4633746,1.2268,38.913205,-77.084346
Garfield Heights,4648081,0.1696,38.854059,-76.972246
Gateway,4636947,0.6749,38.919749,-76.96388
George Washington University,4639481,0.2677,38.899557,-77.047936
Georgetown,4639452,3.3648,38.908591,-77.06562
Georgetown Reservoir,4633767,0.7823,38.909509,-77.090606
Glover Park,4633566,0.9972,38.921428,-77.075818
Golden Triangle,330832674,1.0768,38.902958,-77.041191
Grant Park,4645121,0.5524,38.892703,-76.920645
Greater U Street Historic District,13279545,0.6717,38.916406,-77.029879
Greenway,4646789,0.5897,38.884837,-76.960047
Hawthorne,4629441,0.3962,38.980856,-77.055813
Hill East,4642310,2.2099,38.886981,-76.976112
Hillcrest,4646945,1.0256,38.861867,-76.960704
Hillsdale,4647144,0.91,38.858272,-76.990329
Howard University,4637167,0.3351,38.922313,-77.019559
Kalorama Heights,4638565,0.6649,38.915496,-77.052036
Kingman Park,4642217,0.6334,38.896461,-76.978174
Knox Hill/Buena Vista,4648027,0.4848,38.853372,-76.967657
Lamond Riggs,4626529,1.0785,38.965086,-77.006603
Langdon,4636884,1.4409,38.924,-76.974691
Langston,4637048,1.2342,38.902705,-76.966146
Lanier Heights,4637411,0.2866,38.925251,-77.042833
Le Droit Park,4637236,0.3211,38.916861,-77.017638
Lincoln Heights,4645146,0.5029,38.895777,-76.931134
Logan Circle/Shaw,4638734,1.4302,38.909801,-77.025355
Manor Park,4617646,1.326,38.961916,-77.012653
Marshall Heights,4645236,1.1646,38.884344,-76.929123
Massachusetts Avenue Heights,4633520,0.2587,38.92537,-77.070106
McLean Gardens,4631600,0.2782,38.936535,-77.075939
Mount Pleasant,4637432,0.713,38.931819,-77.040779
Mount Vernon Square,4638793,0.5067,38.903507,-77.019832
Navy Yard,4642586,0.9419,38.874196,-76.998344
Naylor Gardens,4646975,0.5407,38.856814,-76.963038
Near Southeast,4642560,0.5366,38.878352,-77.001906
NoMa,441636352,0.6711,38.902417,-77.006101
North Capitol Street,4641389,0.352,38.902558,-77.011366
North Cleveland Park,4631062,0.8889,38.947823,-77.07186
North Portal Estates,4622764,0.2956,38.991947,-77.040788
Park View,4637108,0.3911,38.93257,-77.021226
Penn Branch,4646864,0.3683,38.869582,-76.953376
Petworth,4626888,2.3074,38.943053,-77.024089
Pleasant Hill,4629354,0.4312,38.941057,-77.004804
Pleasant Plains,4637155,0.4633,38.92952,-77.023144
Randle Highlands,4646920,0.4559,38.869306,-76.965782
River Terrace,4645174,0.2954,38.893561,-76.957787
Shepherd Park,4603194,1.0278,38.98306,-77.032204
Shipley Terrace,4648103,0.36,38.8469,-76.972956
Skyland,4648045,0.2508,38.860283,-76.971753
South Central,4636922,0.032,38.924004,-76.965017
Southwest Employment Area,4639739,1.0386,38.885082,-77.020183
Southwest Waterfront,4642505,1.5649,38.877688,-77.01773
Spring Valley,4631332,1.7279,38.93939,-77.09667
Stanton Park,4641462,1.4731,38.894925,-76.994266
Stronghold,4636508,0.0507,38.92559,-77.00786
Tenleytown,4631145,0.5153,38.947135,-77.080303
The Palisades,4631378,1.6371,38.929853,-77.10355
The Wharf,938212250,0.2623,38.877758,-77.024127
Truxton Circle,4637061,0.4826,38.909641,-77.012514
Twining,4646815,0.6935,38.875612,-76.960676
University Heights,4629280,1.2902,38.938286,-76.995784
Van Ness,4631139,0.3188,38.943426,-77.066211
Washington Highlands,4648249,1.6103,38.830449,-76.995413
Wesley Heights,4631634,0.6179,38.929946,-77.088343
West End,4639362,0.397,38.905448,-77.051881
Woodland,4648060,0.0736,38.856577,-76.973962
Woodland-Normanstone,4633513,0.6613,38.922786,-77.060736
Woodley Park,4631805,0.7322,38.927248,-77.057459
Woodridge,4634051,1.4632,38.934047,-76.968762
